words,links,capital_words,spam_word_count,is_spam
57,1,10,2,0
318,7,26,5,1
577,6,1,5,1
123,3,2,2,0
372,9,21,5,1
179,0,3,0,0
56,0,3,1,0
589,10,8,8,1
192,2,30,7,1
832,4,16,1,1
67,7,22,9,1
279,2,0,2,0
314,5,15,7,1
159,6,19,7,1
92,0,3,1,0
891,3,18,4,1
431,4,5,5,1
200,2,1,2,0
213,1,3,0,0
105,1,2,2,0
578,9,21,10,1
241,2,3,1,0
138,6,13,5,1
318,9,12,0,1
199,5,17,2,1
736,2,25,5,1
57,5,12,7,1
704,2,9,10,1
291,0,3,0,0
228,1,0,0,0
574,4,27,8,1
219,1,8,0,0
274,0,1,1,0
105,1,2,1,0
300,0,1,1,0
757,8,0,6,1
722,10,17,1,1
26,4,1,1,0
797,9,9,6,1
891,9,28,0,1
188,3,5,4,1
56,9,3,3,1
356,10,3,9,1
246,1,2,4,0
52,2,0,1,0
184,10,24,9,1
181,1,4,3,0
192,1,0,2,0
258,1,1,1,0
78,1,10,2,0
131,10,16,7,1
243,1,3,2,0
226,4,8,9,1
941,5,16,4,1
290,0,1,0,0
127,4,3,1,0
900,3,13,3,1
88,2,2,0,0
257,1,1,2,0
860,3,23,5,1
288,7,18,3,1
427,3,16,6,1
193,6,5,2,1
601,5,14,0,1
265,0,4,3,0
212,4,1,10,1
205,0,2,1,0
129,2,1,1,0
56,0,3,2,0
554,0,28,10,1
352,0,1,2,0
426,1,0,0,0
776,7,28,7,1
34,2,1,0,0
428,9,5,2,1
151,1,0,6,0
71,2,8,2,0
294,2,3,5,0
223,0,6,0,0
143,6,20,3,1
340,0,2,2,0
308,4,1,1,1
429,7,26,10,1
244,2,2,2,0
55,2,0,1,0
217,2,30,7,1
298,2,6,1,0
671,7,7,9,1
936,3,29,4,1
170,0,2,1,0
555,2,17,3,1
505,4,25,6,1
868,10,16,5,1
232,0,4,8,1
749,2,0,4,1
174,1,2,3,0
57,1,2,0,0
294,0,2,6,0
81,0,2,2,0
133,0,2,0,0
178,1,2,2,0
149,3,1,2,0
129,10,1,5,1
112,1,0,6,0
575,5,29,3,1
794,2,11,9,1
351,4,27,2,1
276,5,27,2,1
891,8,10,3,1
258,2,2,4,0
94,3,2,2,0
304,1,7,0,0
244,1,0,0,0
959,3,28,4,1
810,7,16,4,1
922,6,7,10,1
250,2,8,1,0
237,1,0,1,0
76,9,14,10,1
133,4,23,3,1
327,0,3,0,0
81,5,23,3,1
758,10,26,0,1
50,3,26,2,1
300,0,1,1,0
294,7,27,3,1
224,5,7,0,0
125,1,3,2,0
681,4,18,10,1
275,0,1,0,0
176,1,8,1,0
611,4,21,5,1
115,6,4,3,1
57,2,0,4,0
223,2,0,0,0
232,6,29,9,1
80,0,2,6,0
115,1,3,1,0
420,0,11,4,1
333,1,5,10,1
508,10,25,5,1
105,1,3,5,0
198,2,2,0,0
402,2,3,2,0
316,8,11,8,1
217,1,1,2,0
535,3,11,3,1
244,2,1,2,0
56,2,3,0,0
195,1,0,0,0
400,10,27,10,1
453,1,0,1,0
796,3,25,2,1
121,5,3,0,0
905,4,11,8,1
848,8,0,3,1
109,2,1,2,0
614,4,28,0,1
109,1,2,2,0
375,3,23,9,1
953,8,9,4,1
688,8,6,1,1
393,5,8,10,1
267,3,1,6,0
28,0,1,0,0
117,2,0,2,0
422,7,2,7,1
236,2,1,2,0
396,4,16,4,1
121,2,10,3,1
183,4,2,3,0
200,1,0,0,0
183,9,5,9,1
800,3,15,3,1
900,2,2,1,1
683,7,30,4,1
261,6,5,5,1
72,9,25,3,1
75,0,2,10,1
87,0,1,0,0
551,3,29,6,1
182,4,17,0,1
217,0,3,0,0
945,2,9,1,1
386,10,26,2,1
129,6,20,1,1
957,1,9,2,1
124,1,2,1,0
778,4,28,6,1
143,10,28,8,1
70,7,1,8,1
881,2,15,6,1
343,5,0,4,1
357,6,15,7,1
119,0,3,1,0
294,5,2,1,0
154,7,21,8,1
277,8,15,3,1
904,3,23,7,1
241,0,9,4,0
887,10,16,3,1
250,5,5,2,0
458,9,16,5,1
223,1,3,1,0
225,2,8,2,0
645,6,3,8,1
136,0,1,2,0
136,1,3,5,0
74,1,1,1,0
86,0,0,1,0
58,1,3,1,0
197,2,3,1,0
742,7,6,3,1
242,3,1,6,0
741,3,13,10,1
39,2,1,0,0
163,2,3,2,0
326,8,11,4,1
715,2,14,7,1
131,0,2,0,0
279,5,2,2,0
92,4,5,2,0
154,9,25,10,1
406,0,1,0,0
195,3,17,6,1
343,0,2,1,0
386,0,0,1,0
80,2,3,0,0
123,0,0,2,0
144,8,27,10,1
207,0,3,1,0
212,0,3,3,0
64,0,2,0,0
350,8,29,6,1
129,2,0,1,0
269,2,3,2,0
269,5,2,1,0
336,3,27,0,1
569,10,30,8,1
240,0,2,1,0
898,10,25,3,1
184,3,2,2,0
90,4,27,10,1
698,8,14,0,1
909,1,25,4,1
153,8,24,5,1
843,5,8,5,1
345,2,1,1,0
101,1,2,2,0
721,3,5,0,1
210,3,5,9,1
139,5,0,1,0
742,6,23,6,1
88,1,5,1,0
160,1,1,2,0
53,2,16,6,1
193,2,1,1,1
177,3,19,4,1
277,1,1,0,0
731,10,3,0,1
672,6,16,7,1
87,2,2,1,0
511,3,15,10,1
125,5,28,5,1
262,2,2,2,0
162,1,1,3,0
753,8,11,8,1
59,2,0,0,0
366,6,12,8,1
132,6,14,7,1
612,0,22,3,1
392,0,19,1,1
78,2,3,2,0
105,7,21,3,1
96,2,0,1,0
156,1,9,1,0
957,3,19,8,1
287,5,14,10,1
547,1,14,3,1
45,0,4,1,0
130,1,2,5,0
228,2,8,0,0
23,1,2,0,0
717,5,30,4,1
65,0,4,2,0
119,1,11,5,1
283,2,3,1,0
175,1,13,6,1
165,2,3,0,0
705,9,23,9,1
971,0,13,3,1
171,1,1,1,0
293,1,2,1,0
170,2,9,10,1
22,5,1,0,0
703,9,27,3,1
233,1,0,1,0
233,3,26,5,1
538,2,16,0,1
143,5,26,4,1
142,0,0,2,0
131,2,27,10,1
196,4,2,3,0
183,2,0,5,0
211,4,1,0,0
173,2,18,6,1
113,6,18,3,1
184,2,1,1,0
350,9,7,1,1
296,10,0,10,1
54,2,3,2,0
148,3,0,1,0
144,0,2,2,0
898,2,3,7,1
64,9,24,2,1
136,4,16,10,1
168,2,1,2,0
159,1,0,2,0
118,4,6,10,1
249,0,2,4,0
912,10,5,0,1
992,2,7,1,1
378,2,2,1,0
612,6,9,0,1
693,9,26,2,1
48,1,1,0,0
220,0,2,2,0
205,4,3,3,1
169,0,4,1,0
888,2,10,0,1
286,3,23,3,1
393,7,20,4,1
632,5,29,5,1
818,4,7,5,1
64,0,0,2,0
45,0,2,0,0
131,8,10,3,1
723,6,18,3,1
583,2,10,6,1
937,8,7,8,1
880,5,22,5,1
140,1,2,2,0
280,2,3,2,0
373,4,1,3,0
184,0,4,0,0
298,2,2,3,0
595,0,27,6,1
263,1,0,2,0
198,3,3,2,0
268,0,1,0,0
204,3,1,2,0
165,0,20,4,1
250,3,7,0,0
201,2,1,2,0
240,1,1,1,0
222,1,2,0,0
89,10,28,4,1
218,2,2,0,0
128,1,24,1,1
452,6,12,6,1
174,4,14,8,1
560,9,11,0,1
131,2,6,6,1
211,1,2,0,0
242,4,0,1,0
287,2,0,0,0
323,9,20,7,1
246,0,1,2,0
63,1,0,2,0
79,2,3,6,0
194,2,1,0,0
49,2,3,2,0
705,2,5,10,1
177,2,1,0,0
201,1,0,2,0
596,2,6,2,1
175,1,1,0,0
781,10,3,0,1
497,3,5,7,1
46,0,3,2,0
944,7,0,4,1
375,5,24,1,1
638,6,21,1,1
720,0,30,3,1
448,2,10,4,0
126,4,3,1,0
39,4,0,1,0
168,1,0,1,0
297,0,1,2,0
381,1,1,0,0
148,2,0,1,0
173,5,1,2,0
408,0,24,8,1
283,0,2,1,0
660,6,4,7,1
161,5,8,6,1
74,1,3,0,0
55,7,22,10,1
294,2,1,0,0
777,3,28,3,1
91,1,9,5,0
21,0,0,5,0
83,3,0,0,0
313,1,10,2,0
349,10,25,6,1
992,1,18,1,1
119,2,3,1,0
82,10,8,0,1
749,8,26,9,1
371,0,4,6,1
242,0,1,1,0
134,0,2,5,0
750,8,5,10,1
129,3,30,1,1
805,3,30,0,1
812,9,13,7,1
966,10,20,10,1
616,7,5,4,1
164,10,16,8,1
182,2,9,10,1
137,0,3,1,0
83,1,1,0,0
933,3,29,4,1
768,9,4,2,1
81,1,3,1,0
160,5,16,5,1
259,2,0,2,0
167,5,3,1,0
295,3,1,2,0
951,0,14,5,1
166,0,22,7,1
211,0,18,0,1
51,0,2,2,0
111,1,1,1,0
44,0,0,6,0
460,4,0,1,0
143,0,5,8,1
214,0,3,1,0
337,0,9,0,0
107,2,0,2,0
617,2,14,6,1
196,10,1,8,1
468,1,4,1,0
308,0,2,2,0
199,10,15,4,1
27,0,2,0,0
738,4,28,7,1
869,5,5,3,1
99,2,2,2,0
794,2,6,9,1
236,1,10,2,0
195,1,0,0,0
784,4,12,10,1
649,7,11,0,1
613,2,13,5,1
305,8,12,4,1
242,1,1,4,0
183,5,24,9,1
285,2,6,2,0
174,1,0,4,1
78,1,3,1,0
788,1,29,5,1
391,4,22,4,1
70,2,3,0,0
935,9,8,3,1
833,1,19,7,1
897,7,4,10,1
172,2,1,1,0
185,0,3,1,0
762,2,25,2,1
116,10,25,7,1
413,8,24,1,1
402,2,3,2,0
60,3,1,9,1
169,2,0,2,0
447,6,21,9,1
369,2,4,6,0
337,1,4,3,1
283,3,3,0,0
838,2,2,3,1
295,2,23,4,1
343,4,13,7,1
565,7,20,1,1
314,8,28,2,1
54,2,11,5,1
78,3,3,9,1
148,1,0,2,0
40,4,3,0,0
151,0,0,5,0
520,9,8,10,1
175,1,3,1,0
41,0,1,2,0
114,7,11,3,1
133,0,1,1,0
335,0,10,9,1
166,2,7,1,0
119,9,9,10,1
196,1,0,6,0
247,0,1,2,0
254,0,1,1,0
209,4,2,4,1
167,5,1,1,0
610,4,25,3,1
194,2,5,1,0
59,0,2,1,0
202,0,2,0,0
394,3,22,0,1
909,9,12,7,1
246,2,2,0,0
364,3,23,6,1
122,2,2,2,0
341,4,27,3,1
865,2,14,4,1
257,2,2,2,0
435,0,1,2,0
54,2,0,0,0
167,0,2,1,0
218,1,6,2,0
905,5,5,7,1
302,7,15,0,1
76,0,2,2,0
917,2,17,3,1
404,5,10,1,1
182,2,0,2,0
37,2,2,0,0
240,1,2,1,0
42,2,1,0,0
257,0,2,2,0
246,4,1,0,0
158,1,10,1,0
50,0,1,0,0
961,9,30,6,1
132,5,3,1,0
177,2,3,0,0
219,2,7,1,0
980,2,9,9,1
71,2,0,1,0
621,10,28,2,1
35,1,0,2,0
732,4,11,1,1
31,2,2,0,0
772,4,14,2,1
193,2,0,0,0
186,2,2,2,0
185,1,1,3,0
130,8,18,8,1
159,2,3,0,0
242,1,1,3,0
198,6,19,1,1
515,3,14,10,1
287,2,4,0,0
141,6,1,0,1
142,2,1,0,0
291,3,0,6,0
471,6,5,5,1
585,9,9,0,1
607,9,11,1,1
579,9,17,7,1
604,5,23,8,1
100,2,1,2,0
191,0,3,2,0
622,7,9,1,1
546,4,7,4,1
243,1,3,0,0
441,7,27,1,1
120,1,5,0,0
923,4,22,6,1
211,1,2,1,0
139,5,3,2,0
247,5,2,1,0
549,1,18,7,1
88,1,25,10,1
138,7,28,4,1
119,8,24,8,1
965,10,10,8,1
24,4,0,5,0
253,2,0,0,0
758,7,28,0,1
678,3,22,3,1
200,5,3,2,0
179,5,9,9,1
181,2,1,2,0
252,0,0,1,0
113,3,3,1,0
495,6,4,9,1
285,1,2,1,0
67,1,3,1,0
199,2,0,4,1
247,3,3,8,1
254,0,1,2,0
154,2,1,2,0
170,5,1,0,0
600,5,24,8,1
135,3,23,9,1
193,0,0,2,0
190,10,1,4,1
534,3,6,0,1
158,1,3,0,0
286,1,10,2,0
848,2,1,4,1
637,2,27,6,1
158,1,2,2,0
469,0,10,3,1
98,6,3,6,1
41,0,3,2,0
116,1,11,0,1
841,9,1,1,1
240,0,3,5,0
283,0,0,1,0
502,6,4,5,1
171,4,8,2,0
994,8,16,0,1
266,2,5,4,0
142,0,1,10,1
113,0,3,2,0
823,4,7,10,1
281,1,2,0,0
162,4,25,6,1
264,7,3,9,1
209,1,2,2,0
68,8,2,8,1
871,8,5,4,1
180,0,25,10,1
156,2,2,5,0
178,0,9,3,0
275,10,28,3,1
174,4,0,1,0
74,0,2,0,0
534,1,29,3,1
63,2,5,2,0
149,1,0,0,0
83,0,3,2,0
36,0,3,2,0
109,1,1,1,0
341,6,28,6,1
242,2,3,0,0
531,0,6,3,1
128,2,2,2,0
281,1,2,1,0
948,5,26,1,1
266,0,0,3,0
338,2,1,2,0
237,3,0,6,0
84,0,0,0,0
110,9,12,0,1
246,5,9,3,1
60,0,2,1,0
100,3,27,10,1
532,7,25,4,1
874,1,1,5,1
873,2,16,7,1
62,1,1,2,0
576,6,2,5,1
442,3,28,10,1
781,8,22,2,1
508,5,24,8,1
196,1,2,6,0
180,2,0,1,0
84,2,2,2,0
70,2,7,2,0
528,4,17,7,1
334,5,5,9,1
233,5,0,0,0
519,6,8,6,1
110,5,0,2,0
90,2,1,1,0
476,8,18,9,1
204,1,0,6,0
376,2,26,7,1
60,1,7,3,0
400,0,10,0,0
865,4,1,10,1
187,4,28,9,1
322,5,2,1,0
97,2,3,0,0
296,2,28,9,1
94,1,2,0,0
268,2,1,1,0
216,0,2,2,0
226,2,2,0,0
163,0,10,2,0
434,4,8,7,1
73,5,0,3,1
80,2,3,0,0
125,1,0,2,0
100,1,1,1,0
366,3,0,5,1
290,4,0,0,0
840,1,16,5,1
132,0,1,0,0
54,4,3,1,0
213,2,9,1,0
56,0,2,1,0
123,3,4,7,1
177,10,11,7,1
111,1,20,6,1
400,0,0,1,0
256,2,8,10,1
231,4,2,2,0
98,2,0,2,0
39,0,3,1,0
723,7,13,10,1
989,10,6,2,1
205,1,8,0,0
244,5,7,3,1
104,3,3,8,1
152,1,3,2,0
275,1,2,2,0
106,8,17,3,1
250,0,2,2,0
66,1,1,1,0
117,2,3,4,0
456,3,11,10,1
447,1,8,2,0
161,8,26,9,1
627,8,8,6,1
180,1,2,0,0
608,4,29,2,1
93,1,5,2,0
120,3,20,4,1
187,0,2,0,0
121,10,23,7,1
96,1,2,6,0
184,2,4,1,0
80,0,2,2,0
126,0,1,2,0
239,1,0,2,0
648,7,21,4,1
94,0,1,2,0
232,1,2,1,0
297,10,22,7,1
182,9,27,0,1
481,10,22,6,1
415,3,19,9,1
679,7,14,7,1
782,1,14,5,1
638,2,25,1,1
455,1,3,0,0
295,1,2,5,0
290,0,0,2,0
196,7,19,1,1
343,10,21,9,1
314,0,2,0,0
109,1,5,2,0
322,9,22,9,1
119,0,27,7,1
198,4,27,10,1
283,2,0,1,0
283,4,2,2,0
183,8,13,9,1
225,0,3,6,0
127,5,23,10,1
168,3,21,3,1
288,4,0,4,0
372,1,2,2,0
638,4,5,9,1
283,3,11,9,1
596,9,29,7,1
361,3,14,10,1
238,1,0,0,0
74,0,2,0,0
122,4,0,4,0
130,8,10,3,1
350,7,22,7,1
120,0,17,6,1
147,0,2,0,0
383,4,2,2,0
637,8,26,10,1
925,3,23,2,1
192,7,13,4,1
177,0,0,0,0
173,0,9,0,0
189,0,2,6,0
802,2,15,3,1
962,10,8,3,1
239,1,1,2,0
888,2,8,5,1
629,9,21,1,1
213,0,4,0,0
270,1,3,0,0
208,2,1,1,0
228,1,2,2,0
222,3,26,9,1
737,2,22,1,1
233,0,3,2,0
207,6,2,5,1
409,5,16,2,1
261,1,4,1,0
193,7,18,1,1
26,1,3,0,0
241,1,10,1,0
394,1,2,2,0
97,10,6,7,1
289,2,3,0,0
203,7,28,3,1
299,1,8,2,0
130,2,9,3,1
633,8,19,7,1
200,1,18,6,1
523,2,12,4,1
289,9,4,10,1
193,1,1,1,0
218,2,0,4,0
71,1,24,9,1
271,2,2,0,0
493,2,5,1,0
302,9,22,8,1
125,1,27,4,1
837,7,26,3,1
770,9,0,7,1
291,1,3,1,0
126,1,3,0,0
165,1,2,0,0
938,2,6,9,1
273,2,0,3,0
64,1,2,0,0
364,0,1,0,0
21,2,1,1,0
473,10,11,4,1
355,1,27,6,1
146,4,28,5,1
327,7,0,9,1
706,6,7,4,1
149,3,25,6,1
510,2,30,7,1
238,2,2,1,0
262,1,2,0,0
134,9,2,6,1
237,1,3,2,0
37,1,2,2,0
39,2,3,2,0
55,2,3,2,0
682,3,13,10,1
189,0,2,0,0
357,1,3,1,0
933,6,14,9,1
268,4,1,1,0
289,0,0,2,0
694,1,29,5,1
163,3,5,9,1
215,1,1,0,0
403,3,4,4,1
258,0,2,2,0
125,2,3,6,0
259,1,3,0,0
130,7,2,6,1
101,3,0,1,1
220,3,13,3,1
168,4,2,1,0
270,2,2,4,0
480,3,11,1,1
151,2,3,6,0
910,9,9,5,1
295,0,1,0,0
331,3,1,5,1
158,2,4,1,0
170,8,23,4,1
233,1,2,0,0
181,2,3,1,0
162,9,21,4,1
60,0,0,0,0
888,7,9,8,1
455,2,3,1,0
51,3,3,0,0
453,3,1,0,0
606,10,17,7,1
125,4,6,10,1
217,2,10,0,0
792,6,28,7,1
249,9,4,6,1
45,2,3,2,0
100,1,0,1,0
250,1,3,2,0
344,0,3,1,0
45,1,1,1,0
306,0,26,10,1
615,2,14,4,1
553,4,25,4,1
106,2,0,6,0
180,1,1,2,0
389,1,27,2,1
301,10,30,3,1
98,0,8,1,0
411,2,3,2,0
202,2,3,0,0
180,10,23,6,1
228,1,1,5,0
95,1,3,1,0
153,2,10,5,0
454,2,3,5,0
207,2,9,2,0
232,1,2,2,0
70,2,5,2,0
207,0,9,1,0
481,7,6,4,1
601,8,5,9,1
158,0,11,6,1
174,1,3,2,0
469,4,3,5,1
748,10,17,1,1
198,3,22,10,1
577,3,19,5,1
43,0,0,0,0
466,2,1,0,0
85,4,16,10,1
156,4,4,0,1
443,1,28,6,1
28,0,0,2,0
26,0,0,0,0
50,10,0,4,1
118,9,10,5,1
513,4,4,1,1
717,1,2,2,1
926,0,20,8,1
325,6,3,8,1
726,2,22,4,1
82,5,2,2,0
209,1,2,0,0
165,4,3,1,0
909,4,25,4,1
144,0,0,9,1
823,5,9,9,1
150,0,10,0,0
792,3,28,9,1
567,5,16,3,1
524,2,11,4,1
194,2,0,5,0
242,0,3,0,0
346,0,2,9,1
622,5,1,7,1
55,3,2,10,1
294,1,0,1,0
216,0,8,2,0
30,1,3,0,0
99,2,16,9,1
51,7,9,9,1
242,1,0,0,0
124,1,9,0,0
216,7,23,10,1
333,2,0,2,0
146,5,10,5,0
271,4,1,0,0
121,8,10,8,1
97,2,2,2,0
325,9,11,5,1
212,4,3,0,0
858,10,30,6,1
375,2,0,0,0
157,2,0,2,0
179,2,3,0,0
405,10,14,5,1
172,2,8,4,0
20,1,3,0,0
713,2,3,2,1
694,3,23,5,1
178,8,22,10,1
108,0,0,9,1
137,4,3,0,0
298,0,1,1,0
283,0,2,0,0
161,0,1,2,0
53,2,0,2,0
80,9,8,8,1
460,3,15,4,1
125,8,28,4,1
164,2,26,10,1
55,2,10,5,0
420,2,20,5,1
510,2,27,3,1
205,0,0,2,0
836,3,6,3,1
404,1,2,6,0
200,3,2,0,0
421,10,9,3,1
310,0,2,8,1
106,7,8,3,1
926,3,22,5,1
785,5,17,4,1
288,1,2,4,0
50,1,1,0,0
567,3,1,9,1
85,5,1,1,0
245,4,8,1,0
55,0,6,2,0
209,0,2,2,0
242,1,1,2,0
188,1,1,1,0
286,0,3,2,0
665,6,23,2,1
172,0,1,2,0
206,0,2,0,0
296,3,17,0,1
142,0,0,1,0
62,10,1,9,1
79,2,8,5,0
156,2,2,1,0
108,1,2,0,0
393,5,1,1,0
805,10,3,1,1
301,1,21,3,1
744,6,2,3,1
101,1,0,0,0
77,5,2,1,0
891,8,5,2,1
73,2,2,0,0
142,3,26,9,1
287,1,3,1,0
231,1,20,5,1
891,3,10,7,1
197,5,0,5,0
89,5,15,9,1
900,7,17,5,1
131,1,0,1,0
379,0,1,0,0
167,0,8,1,0
208,0,0,0,0
253,2,1,1,0
483,6,21,10,1
612,7,16,0,1
297,4,21,7,1
239,2,2,2,0
114,8,6,9,1
244,9,4,10,1
127,2,30,4,1
279,2,3,5,1
133,0,1,0,0
871,3,10,8,1
34,1,2,0,0
719,4,5,5,1
612,8,28,9,1
204,1,1,0,0
92,6,11,10,1
470,2,0,3,0
191,1,1,2,0
468,9,12,7,1
841,4,15,9,1
174,1,2,2,0
282,0,5,6,0
587,6,1,10,1
170,10,2,6,1
599,4,15,10,1
274,1,3,1,0
163,0,3,4,0
215,2,0,4,0
218,1,1,1,0
160,0,3,2,0
164,1,2,5,0
244,2,2,4,0
56,10,2,4,1
299,2,6,7,1
170,2,11,10,1
177,2,2,1,0
270,2,2,2,0
414,8,11,10,1
184,5,1,2,0
256,6,7,2,1
849,2,8,1,1
782,6,6,8,1
616,2,13,6,1
644,2,16,2,1
750,7,4,10,1
890,10,28,8,1
101,1,14,6,1
253,3,18,7,1
458,2,2,2,0
189,0,3,1,0
148,3,5,1,0
505,5,7,10,1
140,0,2,1,0
291,4,1,10,1
194,0,3,5,0
793,4,1,2,1
149,1,3,2,0
659,2,27,3,1
835,8,6,8,1
156,3,3,0,0
85,8,4,9,1
426,10,29,2,1
23,0,1,1,0
165,1,2,1,0
65,7,15,6,1
143,9,27,4,1
126,0,0,1,0
429,2,24,6,1
431,1,18,10,1
175,0,0,1,0
725,8,3,9,1
682,4,16,3,1
427,2,2,1,0
213,2,10,4,0
229,5,10,0,0
282,0,1,4,0
84,2,0,3,1
213,7,7,2,1
131,1,2,4,0
304,10,12,5,1
615,9,7,6,1
30,5,3,1,0
76,4,0,2,0
165,1,0,0,0
376,8,19,8,1
269,2,0,5,0
431,9,21,2,1
64,1,2,2,0
107,1,1,0,0
226,1,2,2,0
48,3,2,0,0
298,2,1,6,0
68,1,1,1,0
937,4,8,4,1
165,1,3,2,0
794,0,27,6,1
97,8,9,4,1
200,0,0,2,0
242,2,3,5,0
150,5,1,7,1
241,1,5,1,0
788,7,25,10,1
260,1,1,1,0
201,2,9,2,0
53,1,3,2,0
113,2,9,2,0
202,1,3,0,0
882,7,21,3,1
438,2,3,2,0
82,3,17,6,1
292,7,3,10,1
480,2,3,0,0
141,1,2,3,1
277,2,0,5,0
231,8,6,7,1
195,9,0,8,1
71,6,14,5,1
875,3,30,8,1
699,4,11,10,1
156,2,2,1,0
78,2,3,2,0
256,4,3,8,1
146,3,11,4,1
158,2,1,2,0
293,10,19,2,1
176,1,2,1,0
130,3,3,1,0
186,0,2,1,0
893,9,6,10,1
753,1,5,3,1
197,0,1,2,0
183,2,0,1,0
614,9,21,4,1
724,6,0,10,1
62,2,10,1,0
77,7,4,1,1
317,5,8,4,1
103,2,2,2,0
186,5,5,9,1
889,2,24,10,1
602,8,28,6,1
475,5,8,3,1
297,5,6,2,1
638,5,22,3,1
300,1,1,5,0
81,10,24,4,1
126,3,21,9,1
263,1,3,1,0
269,3,0,2,0
198,1,3,9,1
107,6,24,0,1
23,4,2,6,0
958,8,11,2,1
294,0,1,2,0
488,2,0,1,0
162,4,2,5,0
761,5,29,7,1
288,10,21,3,1
145,2,7,2,0
473,1,0,1,0
145,1,3,0,0
235,10,5,2,1
211,5,3,1,0
178,2,1,2,0
87,0,3,2,0
955,8,16,10,1
439,3,27,9,1
91,3,0,5,0
23,0,1,6,0
237,1,1,1,0
46,1,3,6,0
928,6,10,9,1
33,2,1,1,0
83,2,16,3,1
402,3,4,10,1
216,0,2,2,0
259,8,21,9,1
26,2,1,2,0
254,8,5,5,1
416,3,5,8,1
633,2,19,8,1
37,0,2,0,0
200,2,2,5,0
218,2,5,0,0
640,3,16,2,1
38,1,3,2,0
192,0,29,4,1
88,3,2,2,0
163,1,1,3,0
498,3,10,4,1
706,7,27,7,1
20,1,2,2,0
551,0,21,8,1
56,9,11,8,1
863,7,17,5,1
184,2,0,0,0
212,10,6,3,1
120,5,15,5,1
74,2,3,4,0
179,2,10,0,0
43,0,1,1,0
552,4,23,9,1
292,0,1,0,0
259,0,0,1,0
65,7,28,10,1
74,1,0,2,0
179,2,20,0,1
206,4,20,6,1
231,9,22,5,1
121,7,5,8,1
56,0,8,1,0
181,7,30,6,1
758,2,21,3,1
199,2,22,4,1
